declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1954-07-01T00:00:00 -04:00,DR,Flood,FLOOD,1954-07-01T00:00:00 -04:00,1954-07-01T00:00:00 -04:00,1959-07-01T00:00:00 -04:00,,,bdb7d02e587593a31cbeeae6088f9e39,2016-12-18T11:07:49 -05:00
1953-06-11T00:00:00 -04:00,DR,Tornado,TORNADO,1953-06-11T00:00:00 -04:00,1953-06-11T00:00:00 -04:00,1956-06-01T00:00:00 -04:00,,,88fb5fdb98cbb40531c5b24b3ad15263,2016-12-18T11:07:49 -05:00
1955-08-15T00:00:00 -04:00,DR,Flood,FLOOD,1955-08-15T00:00:00 -04:00,1955-08-15T00:00:00 -04:00,1959-06-01T00:00:00 -04:00,,,f7a08fb18b3e4295bf46dd6e5029f10d,2016-12-18T11:07:49 -05:00
1955-12-24T00:00:00 -05:00,DR,Flood,FLOOD,1955-12-24T00:00:00 -05:00,1955-12-24T00:00:00 -05:00,1961-09-01T00:00:00 -04:00,,,9ad56a14d2e8dc8e3138864c9cff76ba,2016-12-18T11:07:49 -05:00
1956-05-21T00:00:00 -04:00,DR,Severe Storm(s),SEVERE STORM,1956-05-21T00:00:00 -04:00,1956-05-21T00:00:00 -04:00,1959-06-01T00:00:00 -04:00,,,1e8761ee72e88ea0375ce381ab8a9a1d,2016-12-18T11:07:49 -05:00
1957-02-01T00:00:00 -05:00,DR,Flood,FLOODS,1957-02-01T00:00:00 -05:00,1957-02-01T00:00:00 -05:00,1958-03-01T00:00:00 -05:00,,,709277ed1ec34b5f99f486510f379051,2016-12-18T11:07:49 -05:00
1957-06-22T00:00:00 -04:00,DR,Flood,FLOODS,1957-06-22T00:00:00 -04:00,1957-06-22T00:00:00 -04:00,1959-03-01T00:00:00 -05:00,,,b96ab937c7d719be4a2cc09149fa65aa,2016-12-18T11:07:49 -05:00
1958-11-06T00:00:00 -05:00,DR,Flood,FLOODS,1958-11-06T00:00:00 -05:00,1958-11-06T00:00:00 -05:00,1961-03-01T00:00:00 -05:00,,,87d35454c9893cc325bb8245b91d7c9e,2016-12-18T11:07:49 -05:00
1960-04-04T00:00:00 -04:00,DR,Flood,FLOODS,1960-04-04T00:00:00 -04:00,1960-04-04T00:00:00 -04:00,1962-03-20T00:00:00 -04:00,,,4b6f1e0839a3b72d70d604f79f51d944,2016-12-18T11:07:52 -05:00
1961-02-27T00:00:00 -05:00,DR,Flood,FLOODS,1961-02-27T00:00:00 -05:00,1961-02-27T00:00:00 -05:00,1962-08-23T00:00:00 -04:00,,,f34945b701682c6a48e876ee82b5af98,2016-12-18T11:07:54 -05:00
1961-09-16T00:00:00 -04:00,DR,Hurricane,HURRICANE CARLA,1961-09-16T00:00:00 -04:00,1961-09-16T00:00:00 -04:00,1964-05-04T00:00:00 -04:00,,,f51378e60ababdce2473eb72f327ad1a,2016-12-18T11:07:54 -05:00
1962-03-12T00:00:00 -04:00,DR,Flood,FLOODS,1962-03-12T00:00:00 -04:00,1962-03-12T00:00:00 -04:00,1964-11-09T00:00:00 -05:00,,,0f0004ab764f26616209e60c18806148,2016-12-18T11:07:54 -05:00
1962-10-24T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING,1962-10-24T00:00:00 -04:00,1962-10-24T00:00:00 -04:00,1964-12-03T00:00:00 -05:00,,,cf01731f48ba1c730e1b70f767262d09,2016-12-18T11:07:54 -05:00
1954-10-26T00:00:00 -04:00,DR,Flood,FLOOD,1954-10-26T00:00:00 -04:00,1954-10-26T00:00:00 -04:00,1956-03-01T00:00:00 -05:00,,,78feb8cb587f448e833a01a7dc360689,2016-12-18T11:07:49 -05:00
1954-07-31T00:00:00 -04:00,DR,Flood,FLOOD,1954-07-31T00:00:00 -04:00,1954-07-31T00:00:00 -04:00,1956-02-01T00:00:00 -05:00,,,e71e68b7d6f85894a632493e871f2219,2016-12-18T11:07:49 -05:00
1955-08-20T00:00:00 -04:00,DR,Flood,FLOODS & RAINS,1955-08-20T00:00:00 -04:00,1955-08-20T00:00:00 -04:00,1962-01-01T00:00:00 -05:00,,,67ed8ea7501cdd7a634a475e6f17a32c,2016-12-18T11:07:49 -05:00
1953-06-19T00:00:00 -04:00,DR,Flood,FLOOD,1953-06-19T00:00:00 -04:00,1953-06-19T00:00:00 -04:00,1958-01-01T00:00:00 -05:00,,,23dd2c67598621fe6c919e1f78a8eb68,2016-12-18T11:07:49 -05:00
1956-02-25T00:00:00 -05:00,DR,Flood,FLOOD,1956-02-25T00:00:00 -05:00,1956-02-25T00:00:00 -05:00,1961-07-01T00:00:00 -04:00,,,c255d27c0ae85024220eef0a6d3d3964,2016-12-18T11:07:49 -05:00
1956-07-20T00:00:00 -04:00,DR,Flood,STORM & FLOOD,1956-07-20T00:00:00 -04:00,1956-07-20T00:00:00 -04:00,1959-11-01T00:00:00 -04:00,,,292cb06870ce2f231076f0e34b044745,2016-12-18T11:07:49 -05:00
1957-03-06T00:00:00 -05:00,DR,Flood,FLOODS,1957-03-06T00:00:00 -05:00,1957-03-06T00:00:00 -05:00,1961-01-01T00:00:00 -05:00,,,3b99c545b264dc6636dbdb041db8e3bf,2016-12-18T11:07:49 -05:00
1957-06-22T00:00:00 -04:00,DR,Flood,FLOODS,1957-06-22T00:00:00 -04:00,1957-06-22T00:00:00 -04:00,1960-06-01T00:00:00 -04:00,,,f6ac1b112c50fd6d1d605ca048d6ab73,2016-12-18T11:07:49 -05:00
1959-01-23T00:00:00 -05:00,DR,Flood,FLOODS,1959-01-23T00:00:00 -05:00,1959-01-23T00:00:00 -05:00,1963-02-26T00:00:00 -05:00,,,b38e1588612a66f3f0143bc02c0ab693,2016-12-18T11:07:49 -05:00
1960-04-20T00:00:00 -04:00,DR,Flood,FLOODS,1960-04-20T00:00:00 -04:00,1960-04-20T00:00:00 -04:00,1962-03-20T00:00:00 -04:00,,,9d1a53e128ffd179cfcd0b8c4f63ae68,2016-12-18T11:07:49 -05:00
1961-03-02T00:00:00 -05:00,DR,Flood,FLOODS,1961-03-02T00:00:00 -05:00,1961-03-02T00:00:00 -05:00,1962-07-17T00:00:00 -04:00,,,da4e3261ae9ead6588f0b197eeea86e6,2016-12-18T11:07:52 -05:00
1954-10-17T00:00:00 -04:00,DR,Hurricane,HURRICANE,1954-10-17T00:00:00 -04:00,1954-10-17T00:00:00 -04:00,1959-01-01T00:00:00 -05:00,,,996a5878e4a3cc26b04bb57ae419b5a1,2016-12-18T11:07:49 -05:00
1955-08-20T00:00:00 -04:00,DR,Hurricane,HURRICANE & FLOOD,1955-08-20T00:00:00 -04:00,1955-08-20T00:00:00 -04:00,1961-04-01T00:00:00 -04:00,,,d6793357e20fecbd50b7a87a9f77de1f,2016-12-18T11:07:49 -05:00
1954-07-14T00:00:00 -04:00,DR,Earthquake,EARTHQUAKE,1954-07-14T00:00:00 -04:00,1954-07-14T00:00:00 -04:00,1957-08-01T00:00:00 -04:00,,,529a3b98768e9858334facf27a5fbb6f,2016-12-18T11:07:49 -05:00
1953-06-11T00:00:00 -04:00,DR,Flood,FLOOD,1953-06-11T00:00:00 -04:00,1953-06-11T00:00:00 -04:00,1955-11-01T00:00:00 -04:00,,,ed65131c58d243d981a5c334b671a3a0,2016-12-18T11:07:49 -05:00
1955-12-29T00:00:00 -05:00,DR,Flood,FLOOD,1955-12-29T00:00:00 -05:00,1955-12-29T00:00:00 -05:00,1960-10-01T00:00:00 -04:00,,,00a4358634993890972c2ad1caac683b,2016-12-18T11:07:49 -05:00
1956-06-12T00:00:00 -04:00,DR,Flood,FLOOD,1956-06-12T00:00:00 -04:00,1956-06-12T00:00:00 -04:00,1959-04-01T00:00:00 -04:00,,,4eb9c8d7173ca55a2d9555e8a930acbb,2016-12-18T11:07:49 -05:00
1957-03-01T00:00:00 -05:00,DR,Flood,FLOOD,1957-03-01T00:00:00 -05:00,1957-03-01T00:00:00 -05:00,1960-06-01T00:00:00 -04:00,,,cefb3122279c4b10fbbbda104fd100e4,2016-12-18T11:07:49 -05:00
1957-06-22T00:00:00 -04:00,DR,Tornado,TORNADO,1957-06-22T00:00:00 -04:00,1957-06-22T00:00:00 -04:00,1959-04-01T00:00:00 -04:00,,,a777b120c9ef9a23b32940dd7be2ca9a,2016-12-18T11:07:49 -05:00
1959-01-23T00:00:00 -05:00,DR,Flood,FLOODS,1959-01-23T00:00:00 -05:00,1959-01-23T00:00:00 -05:00,1962-03-01T00:00:00 -05:00,,,5bdb6fc5aaec4208ea813b3b61b239ca,2016-12-18T11:07:52 -05:00
1960-04-08T00:00:00 -04:00,DR,Flood,FLOODS,1960-04-08T00:00:00 -04:00,1960-04-08T00:00:00 -04:00,1961-11-02T00:00:00 -04:00,,,985ba4eb81f4a409432b309c91f78b20,2016-12-18T11:07:52 -05:00
1963-08-02T00:00:00 -04:00,DR,Flood,HEAVY RAINS & FLOODING,1963-08-02T00:00:00 -04:00,1963-08-02T00:00:00 -04:00,1966-06-27T00:00:00 -04:00,,,330ed97dc1bb212aa3484cff8d0a5cfe,2016-12-18T11:07:53 -05:00
1964-03-24T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING,1964-03-24T00:00:00 -04:00,1964-03-24T00:00:00 -04:00,1967-03-24T00:00:00 -04:00,,,9395d7e3ab8ad5cd20af781d3672613d,2016-12-18T11:07:53 -05:00
1964-09-10T00:00:00 -04:00,DR,Hurricane,HURRICANE DORA,1964-09-10T00:00:00 -04:00,1964-09-10T00:00:00 -04:00,1966-04-18T00:00:00 -04:00,,,a994b550d9834c42764a8331a66db92a,2016-12-18T11:07:53 -05:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1976-04-05T00:00:00 -05:00,Del Norte (County),99015,be0b7d19b8a00057f609ab31507d34ac,2017-08-09T09:49:37 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1976-04-05T00:00:00 -05:00,Nevada (County),99057,36bbf17ea159b70886858f8fed509966,2017-08-09T09:49:37 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,Hood River (County),99027,0f971237525501231d68c2918544bce8,2017-08-09T09:49:37 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,Marion (County),99047,b5e7686f8ff0165ddb40602828eed55a,2017-08-09T09:49:37 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,Clatsop (County),99007,14460e1935c86cf953576ab97d4d8efb,2017-08-09T09:49:37 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1976-04-05T00:00:00 -05:00,Stanislaus (County),99099,0857af31cb9d64b14838a2c86fade7c6,2017-08-09T09:49:37 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,Washington (County),99067,92fe8c84f6fa9bdd165a145b5a8afaaa,2017-08-09T09:49:37 -04:00
1962-02-14T00:00:00 -05:00,DR,Flood,FLOODS,1962-02-14T00:00:00 -05:00,1962-02-14T00:00:00 -05:00,1964-02-19T00:00:00 -05:00,,,d85d17665cb2f4d0507b2e6e6e9f0306,2016-12-18T11:07:52 -05:00
1962-03-16T00:00:00 -04:00,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",1962-03-16T00:00:00 -04:00,1962-03-16T00:00:00 -04:00,1963-10-14T00:00:00 -04:00,,,83b261098a0ef4775fe9fa411b403b81,2016-12-18T11:07:52 -05:00
1962-11-12T00:00:00 -05:00,DR,Typhoon,TYPHOON KAREN,1962-11-12T00:00:00 -05:00,1962-11-12T00:00:00 -05:00,1967-12-26T00:00:00 -05:00,,,285d39324fce2e236f5544fbe32bf390,2016-12-18T11:07:52 -05:00
1963-03-26T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING,1963-03-26T00:00:00 -04:00,1963-03-26T00:00:00 -04:00,1964-04-22T00:00:00 -04:00,,,874f977239ac7275c1471d9159d7996a,2016-12-18T11:07:52 -05:00
1963-11-27T00:00:00 -05:00,DR,Drought,DROUGHT & IMPENDING FREEZE,1963-11-27T00:00:00 -05:00,1963-11-27T00:00:00 -05:00,1964-06-18T00:00:00 -04:00,,,a5934bb7efc821b52be959bd27b9f3d3,2016-12-18T11:07:52 -05:00
1964-05-26T00:00:00 -04:00,DR,Drought,EXTREME DROUGHT CONDITIONS,1964-05-26T00:00:00 -04:00,1964-05-26T00:00:00 -04:00,1966-07-12T00:00:00 -04:00,,,dd43b82d177b2017941ec381856ea462,2016-12-18T11:07:52 -05:00
1964-11-04T00:00:00 -05:00,DR,Flood,FLOODING,1964-11-04T00:00:00 -05:00,1964-11-04T00:00:00 -05:00,1966-04-08T00:00:00 -04:00,,,882f7a556b8859f928e2fa8148b3e9b0,2016-12-18T11:07:52 -05:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1976-04-05T00:00:00 -05:00,Humboldt (County),99023,08f5565d9fac4b189ad1259c2294cbe3,2017-08-09T09:49:36 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1976-04-05T00:00:00 -05:00,Sacramento (County),99067,be8e426dd4cabc54cad747f88fb42a3f,2017-08-09T09:49:36 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1976-04-05T00:00:00 -05:00,Trinity (County),99105,a56a820050b2412880aaeb7e566003b1,2017-08-09T09:49:36 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,Crook (County),99013,2716d8d6229a6ed4eb17244a09718e51,2017-08-09T09:49:36 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,Josephine (County),99033,9ba167454796ce003d0fa708669c254c,2017-08-09T09:49:36 -04:00
1964-12-24T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-24T00:00:00 -05:00,1964-12-24T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,Polk (County),99053,14b77520a28996c7696a51536978ce74,2017-08-09T09:49:36 -04:00
1964-12-29T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-29T00:00:00 -05:00,1964-12-29T00:00:00 -05:00,1968-02-02T00:00:00 -05:00,Asotin (County),99003,f6cdce07e3cc5faed3f42b1ee15f8c79,2017-08-09T09:49:36 -04:00
1964-12-29T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-29T00:00:00 -05:00,1964-12-29T00:00:00 -05:00,1968-02-02T00:00:00 -05:00,Lewis (County),99041,088c198cedcb8cda661a834a30614143,2017-08-09T09:49:36 -04:00
1964-12-29T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-29T00:00:00 -05:00,1964-12-29T00:00:00 -05:00,1968-02-02T00:00:00 -05:00,Yakima (County),99077,45f03a49e01161dd5b160dee8db672bd,2017-08-09T09:49:36 -04:00
1964-12-31T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODING,1964-12-31T00:00:00 -05:00,1964-12-31T00:00:00 -05:00,1968-02-14T00:00:00 -05:00,Cassia (County),99031,12f58a8733375e7680e4dbd429d403df,2017-08-09T09:49:36 -04:00
1953-10-22T00:00:00 -04:00,DR,Flood,FLOOD,1953-10-22T00:00:00 -04:00,1953-10-22T00:00:00 -04:00,1956-05-01T00:00:00 -04:00,,,4c7c3dfc483b1a30cee2a987f1c32e65,2016-12-18T11:07:49 -05:00
1954-09-02T00:00:00 -04:00,DR,Hurricane,HURRICANES,1954-09-02T00:00:00 -04:00,1954-09-02T00:00:00 -04:00,1956-12-01T00:00:00 -05:00,,,5d49e8612249cee000ae520f725c0d4f,2016-12-18T11:07:49 -05:00
1955-04-01T00:00:00 -04:00,DR,Volcano,VOLCANO,1955-04-01T00:00:00 -04:00,1955-04-01T00:00:00 -04:00,1957-06-01T00:00:00 -04:00,,,b523f12eedc3c108d1558ba3c1531816,2016-12-18T11:07:49 -05:00
1955-08-20T00:00:00 -04:00,DR,Hurricane,"HURRICANE, TORRENTIAL RAIN & FLOODS",1955-08-20T00:00:00 -04:00,1955-08-20T00:00:00 -04:00,1962-11-20T00:00:00 -05:00,,,a9eeacca50d0545b559218e8d42ccaa4,2016-12-18T11:07:49 -05:00
1956-03-29T00:00:00 -04:00,DR,Flood,FLOOD,1956-03-29T00:00:00 -04:00,1956-03-29T00:00:00 -04:00,1957-03-01T00:00:00 -05:00,,,38eec84657ef560582f90db9f59737ee,2016-12-18T11:07:52 -05:00
1956-08-18T00:00:00 -04:00,DR,Hurricane,HURRICANE,1956-08-18T00:00:00 -04:00,1956-08-18T00:00:00 -04:00,1959-08-01T00:00:00 -04:00,,,29ca812644ac26bca819e9a4b399c7bc,2016-12-18T11:07:52 -05:00
1957-04-29T00:00:00 -04:00,DR,Hurricane,"HURRICANE, RAIN, WIND, HAIL & FLOODS",1957-04-29T00:00:00 -04:00,1957-04-29T00:00:00 -04:00,1961-03-01T00:00:00 -05:00,,,19676f013f48af15322cf63568144673,2016-12-18T11:07:52 -05:00
1958-04-04T00:00:00 -04:00,DR,Flood,HEAVY RAINSTORMS & FLOOD,1958-04-04T00:00:00 -04:00,1958-04-04T00:00:00 -04:00,1961-08-01T00:00:00 -04:00,,,a7702e1e8c06d9bccb619de9b7351bbf,2016-12-18T11:07:52 -05:00
1959-07-08T00:00:00 -04:00,DR,Flood,FLOOD,1959-07-08T00:00:00 -04:00,1959-07-08T00:00:00 -04:00,1961-05-01T00:00:00 -04:00,,,c7c22ac540e4b8e66b2b26c6db8b553f,2016-12-18T11:07:52 -05:00
1960-05-28T00:00:00 -04:00,DR,Tornado,TORNADOES & FLOODS,1960-05-28T00:00:00 -04:00,1960-05-28T00:00:00 -04:00,1962-07-23T00:00:00 -04:00,,,cd1feb6062d7d9d177bcb70fc719e763,2016-12-18T11:07:52 -05:00
1953-07-02T00:00:00 -04:00,DR,Fire,FOREST FIRE,1953-07-02T00:00:00 -04:00,1953-07-02T00:00:00 -04:00,1956-02-01T00:00:00 -05:00,,,34d841668cc0755b1b59b9376e4081cc,2016-12-18T11:07:49 -05:00
